course_section_id,course_id,course_section_status,max_enrollment,delivery_mode
192776,350190,active,9,NoData
55639,275208,active,0,Online
197229,351986,active,0,Online
82383,308077,active,0,Online
156881,242563,active,0,Online
154825,207031,active,0,Online
5117,304823,active,0,Online
191304,346909,active,0,Online
116497,258053,active,0,Online
197358,357342,active,0,Online
110518,250748,active,0,Online
196475,348532,active,0,Online
196962,354275,active,0,Online
158347,314845,active,0,Online
155243,214715,active,0,Online
192441,349834,,0,Online
159520,289301,active,0,Online
187008,354847,active,0,Online
145922,294033,active,0,Online
197336,357357,active,0,Online
17728,320494,active,0,Online
193875,356526,active,0,Online
105661,198659,active,0,Online
54207,273459,active,0,Online
137000,283157,active,0,Online
130113,274825,active,0,Online
91566,319483,active,0,Online
176090,235114,active,0,Online
53978,227037,active,0,Online
147362,341727,active,0,Online
60021,326424,active,0,Online
153318,318047,active,0,Online
53876,226891,active,0,Online
26282,285134,active,0,Online
82176,261805,active,0,Online
16872,273461,active,0,Online
189929,352579,active,0,Online
195644,347733,active,0,Online
191266,353887,active,0,Online
159048,280571,active,0,Online
153402,181313,active,0,Online
189530,346909,active,0,Online
77497,256079,active,0,Online
195047,347167,active,0,Online
197334,357348,active,0,Online
188127,348121,active,0,Online
158956,278971,active,0,Online
60226,280698,active,0,Online
190003,350037,active,0,Online
153920,328628,active,0,Online
193698,351129,active,0,Online
101636,193688,active,0,Online
78955,257872,active,0,Online
189004,346909,active,0,Online
67450,289617,active,0,Online
188263,356135,active,0,Online
151316,281389,active,0,Online
143734,245438,active,0,Online
186824,352091,active,0,Online
78110,302746,active,0,Online
197428,357432,active,0,Online
194548,351931,active,0,Online
41314,211709,active,0,Online
104777,197575,active,0,Online
122454,265394,active,0,Online
154772,297981,active,0,Online
69573,246194,active,0,Online
58717,232997,active,0,Online
193920,356566,active,0,Online
194357,354337,active,0,Online
197354,357346,active,0,Online
75041,160387,active,0,Online
191961,357207,active,0,Online
191260,348611,active,0,Online
154399,199020,active,0,Online
187396,347381,active,0,Online
49878,175634,active,0,Online
96616,187465,active,0,Online
112166,206685,active,0,Online
61662,190367,active,0,Online
153886,189896,,0,Online
62967,238102,active,0,Online
64103,331363,active,0,Online
114096,301040,active,0,Online
188963,354210,,0,Online
151755,335374,active,0,Online
166911,305038,,0,Online
49143,313160,active,0,Online
156204,322962,active,0,Online
54701,274073,active,0,Online
29105,196571,active,0,Online
114485,301519,active,0,Online
165427,339944,active,0,Online
196034,348116,active,0,Online
123548,266762,active,0,Online
135337,235239,active,0,Online
78055,256758,,0,Online
19467,230836,active,0,Online
97590,234884,active,0,Online
176537,238520,active,0,Online
140050,194825,active,0,Online
155086,212008,active,0,Online
110649,342918,active,0,Online
77946,164083,active,1,Online
29859,197569,active,1,Online
114192,193363,active,1,Online
192360,352397,active,1,Online
157015,198638,active,1,Online
196324,348374,active,1,Online
191867,351883,active,1,Online
195856,347959,active,1,Online
144233,199936,active,1,Online
53352,179917,active,1,Online
147957,296444,active,1,Online
188026,348026,active,1,Online
101321,309771,active,1,Online
147207,213947,active,1,Online
138856,239542,active,1,Online
113404,325741,active,1,Online
196867,356824,active,1,Online
117879,167138,active,1,Online
195398,355389,active,1,Online
187547,351303,active,1,Online
76582,254910,active,1,Online
7009,307327,active,1,Online
196602,356559,active,1,Online
132163,293670,active,1,Online
94537,284480,active,1,Online
190095,350113,active,1,Online
196043,356007,active,1,Online
187567,350193,active,1,Online
194982,354925,active,1,Online
191327,356584,active,1,Online
146337,226674,active,1,Online
155449,317688,active,1,Online
379,160504,active,1,Online
196683,356656,active,1,Online
131392,322269,active,1,Online
193278,355932,active,1,Online
134272,279747,active,1,Online
68651,311873,active,1,Online
23902,282179,active,1,Online
144874,292799,active,1,Online
195021,352384,active,1,Online
192935,352948,active,1,Online
196141,348222,active,1,Online
133681,186853,,1,Online
196190,351303,active,1,Online
86801,313707,active,1,Online
84867,203051,active,1,Online
89716,266767,active,1,Online
43318,279171,active,1,Online
59487,187675,active,1,Online
83274,216955,active,1,Online
134068,213203,active,1,Online
194375,351761,active,1,Online
31900,167250,active,1,Online
40610,302705,active,1,Online
189947,347333,active,1,Online
156043,228288,active,1,Online
18214,229169,active,1,Online
70658,339464,active,1,Online
192279,349652,active,1,Online
137819,162153,active,1,Online
192414,347195,active,1,Online
68417,244770,active,1,Online
14984,178592,active,1,Online
50983,315414,active,1,Online
159859,341215,active,1,Online
31130,199047,active,1,Online
17673,181991,active,1,Online
139328,189485,active,1,Online
151891,292100,active,1,Online
197292,357295,active,1,Online
188077,350711,active,1,Online
158068,317688,active,1,Online
194228,351761,active,1,Online
68550,244935,active,1,Online
188779,351438,active,1,Online
86523,174898,active,1,Online
39954,255973,active,1,Online
193319,354540,active,1,Online
155882,318172,,1,Online
83073,262925,active,1,Online
76418,254718,active,1,Online
190803,351303,active,1,Online
153357,204083,active,1,Online
116818,304370,active,1,Online
140598,202822,active,1,Online
153776,188309,active,1,Online
197130,357111,active,1,Online
124236,221357,active,1,Online
187225,352461,active,1,Online
82873,308710,active,1,Online
197275,357272,active,1,Online
158038,170998,active,1,Online
191221,351250,active,1,Online
131734,184339,active,1,Online
51424,214803,active,1,Online
37530,160595,active,1,Online
193018,353031,active,1,Online
194554,354539,active,1,Online
89781,178811,active,1,Online
154071,342851,active,1,Online
105415,336409,active,1,Online
190182,352786,active,1,Online
188908,354152,active,1,Online
65585,195228,active,1,Online
102342,270976,active,1,Online
155702,321631,active,1,Online
188166,348155,active,1,Online
46363,217571,active,1,Online
73291,296739,active,1,Online
191673,351303,active,1,Online
39317,209137,active,1,Online
44033,261007,active,1,Online
151684,241899,active,1,Online
194102,356726,active,1,Online
156834,241937,active,1,Online
193845,348597,active,1,Online
150192,306656,active,1,Online
116459,165429,active,1,Online
6117,167595,active,1,Online
85610,312179,active,1,Online
158952,278939,active,1,Online
65128,194684,active,1,Online
187778,353013,active,1,Online
25723,192389,active,1,Online
35618,323088,active,1,Online
13754,223380,active,1,Online
137518,285805,active,1,Online
129680,228177,active,1,Online
45064,216030,active,1,Online
135873,189630,active,1,Online
8604,309307,active,1,Online
192432,349826,active,1,Online
187977,355148,active,1,Online
120952,263558,active,1,Online
36763,344166,active,1,Online
7674,256860,active,1,Online
106145,337278,active,1,Online
190110,355341,active,1,Online
193165,347936,active,1,Online
152447,255747,active,1,Online
22722,247774,active,1,Online
65212,286847,active,1,Online
25422,330052,active,1,Online
191651,349039,active,1,Online
133160,288459,active,1,Online
151966,201384,active,1,Online
116952,278195,active,1,Online
132206,184936,active,1,Online
156703,317688,active,1,Online
110605,296813,active,1,Online
187351,347335,active,1,Online
31293,245378,active,1,Online
88477,177260,active,1,Online
25869,330606,active,1,Online
154673,203939,active,1,Online
190769,353396,active,1,Online
191272,351300,active,1,Online
195352,352711,active,1,Online
187431,347423,active,1,Online
158003,160081,active,1,Online
148865,185133,active,1,Online
96232,226674,active,1,Online
5487,259407,active,1,Online
158367,315043,active,1,Online
187684,352899,active,1,Online
192294,348664,active,1,Online
45154,167037,active,1,Online
193977,348728,active,1,Online
190360,348152,active,1,Online
88316,163497,active,1,Online
135114,234942,active,1,Online
149949,210137,active,1,Online
54154,319344,active,1,Online
147245,249601,active,1,Online
144688,292546,active,1,Online
60798,235539,active,1,Online
123009,312058,active,1,Online
84322,172015,active,1,Online
116951,212535,active,1,Online
152475,302227,active,1,Online
79131,252447,active,2,Online
16361,226674,active,2,Online
138773,281586,active,2,Online
192630,352642,active,2,Online
73781,297294,active,2,Online
90996,202000,active,2,Online
104951,254490,active,2,Online
33639,226674,active,2,Online
158491,317688,active,2,Online
159683,292162,active,2,Online
197140,351887,active,2,Online
188309,348280,active,2,Online
72346,226674,active,2,Online
149510,252447,active,2,Online
143220,180325,active,2,Online
191482,351506,active,2,Online
155928,272803,active,2,Online
193135,348152,active,2,Online
147324,210382,active,2,Online
193131,347897,active,3,Online
38844,193909,active,3,Online
121105,309771,active,3,Online
190673,350676,active,3,Online
191390,348757,active,3,Online
134017,187299,active,3,Online
196873,351597,active,3,Online
153838,281304,active,3,Online
187309,352548,active,3,Online
33037,195480,active,3,Online
196380,356326,active,3,Online
194001,353994,active,3,Online
187586,351712,active,3,Online
189544,349550,active,3,Online
152478,163808,active,3,Online
188083,348083,active,3,Online
26206,330991,active,3,Online
188968,348990,active,3,Online
192066,352065,active,3,Online
35359,250365,active,3,Online
134344,285508,active,3,Online
68941,199278,active,3,Online
193751,353794,,3,Online
112389,253025,active,3,Online
158784,184039,active,3,Online
153093,221704,active,3,Online
192270,347016,active,3,Online
188826,356701,active,3,Online
188007,350653,active,3,Online
192904,356658,active,3,Online
196121,353482,active,3,Online
115139,210382,active,3,Online
150796,317688,active,3,Online
191421,354030,active,4,Online
190107,355336,active,4,Online
22884,280972,active,4,Online
147970,210382,active,4,Online
126898,316802,active,4,Online
188301,356180,active,4,Online
135743,281586,active,4,Online
196543,348603,active,4,Online
191479,348844,active,4,Online
30474,231708,active,4,Online
30078,289905,active,4,Online
195226,352590,active,4,Online
110207,252447,active,4,Online
189470,354707,active,4,Online
195690,347782,active,4,Online
155368,216985,active,4,Online
188522,353781,active,4,Online
196593,353911,active,4,Online
192349,347132,active,4,Online
746,299405,active,4,Online
47016,218375,active,4,Online
192918,355569,active,4,Online
188461,348441,active,4,Online
893,246158,active,4,Online
186805,346807,active,4,Online
60058,326477,active,4,Online
20501,323922,active,4,Online
159073,235127,active,4,Online
15623,317867,active,4,Online
43999,214781,active,4,Online
187787,353022,active,4,Online
196076,348152,active,4,Online
196629,353957,active,260,Online
98614,327999,active,260,Online
82187,169275,active,5,Online
191877,357130,active,5,Online
157139,304923,active,5,Online
79163,210382,active,5,Online
55910,251119,active,5,Online
191879,351893,active,5,Online
73901,251519,active,5,Online
151427,329257,active,5,Online
159176,283230,active,5,Online
36050,174839,active,5,Online
56601,312291,active,5,Online
150729,227143,active,5,Online
191967,351966,active,5,Online
9138,174839,active,5,Online
158568,227143,active,5,Online
195934,355902,,5,Online
193588,350995,active,5,Online
152698,306810,active,5,Online
191188,348533,,5,Online
107534,201004,active,5,Online
155965,227143,active,5,Online
107267,338669,active,5,Online
187445,350071,active,5,Online
195208,352577,active,5,Online
155322,216164,active,5,Online
188254,356127,,5,Online
193595,348354,active,5,Online
175386,183487,active,5,Online
191618,357130,active,5,Online
150071,258602,active,5,Online
156566,237096,active,5,Online
193101,353104,,5,Online
154681,342171,active,5,Online
189759,349771,,5,Online
191345,348704,active,5,Online
32747,174839,active,5,Online
146356,174839,active,5,Online
93834,183801,active,5,Online
61901,174839,active,5,Online
197005,356970,,5,Online
196351,356300,,5,Online
196170,356157,active,5,Online
157297,227143,active,5,Online
190512,347864,,5,Online
158315,222282,active,5,Online
196248,350949,active,5,Online
188596,357130,active,5,Online
41252,312291,active,5,Online
1345,332462,active,5,Online
129223,257651,active,5,Online
188690,356575,,5,Online
150034,257905,active,5,Online
186998,346999,active,5,Online
135140,234985,active,5,Online
190386,352982,active,5,Online
79421,304380,active,5,Online
25324,174839,active,5,Online
157702,227143,active,5,Online
191234,351263,,5,Online
151888,199890,active,5,Online
86483,174839,active,5,Online
192796,352799,active,5,Online
82516,262239,active,5,Online
140570,174839,active,5,Online
159724,227143,active,5,Online
27395,332462,active,5,Online
188556,348543,,5,Online
15671,271990,active,5,Online
61591,252447,active,5,Online
67092,197067,active,5,Online
33629,294226,active,5,Online
17881,332462,active,5,Online
193583,357130,active,5,Online
187739,351215,active,5,Online
137493,210382,active,5,Online
157066,227143,active,5,Online
69695,342238,active,5,Online
189848,347240,active,5,Online
152398,227143,active,5,Online
96418,225463,active,5,Online
57632,252447,active,5,Online
187133,349739,active,5,Online
91874,319875,active,5,Online
105200,256860,active,5,Online
195704,353047,active,5,Online
3376,164147,active,5,Online
151756,197410,active,5,Online
110880,282209,active,5,Online
153071,313362,active,5,Online
48353,312291,active,5,Online
96706,174839,active,5,Online
191567,351246,active,5,Online
48863,174839,active,5,Online
72583,341893,active,5,Online
25943,225463,active,5,Online
191523,356770,,5,Online
145454,340410,active,5,Online
18892,312291,active,5,Online
193848,357130,active,5,Online
158132,172634,active,5,Online
131430,312291,active,5,Online
124914,314363,active,5,Online
17819,312291,active,5,Online
191868,351885,,5,Online
117842,174839,active,5,Online
196904,351458,active,5,Online
101830,332462,active,5,Online
154577,294166,active,5,Online
83323,170730,active,5,Online
132710,174839,active,5,Online
83861,309997,active,5,Online
149129,297885,active,5,Online
150485,208838,active,5,Online
193510,356178,active,5,Online
190441,347788,,5,Online
81577,332462,active,5,Online
157432,283280,active,5,Online
195496,347606,,5,Online
187682,357130,active,5,Online
36989,344505,active,5,Online
87421,332462,active,5,Online
194234,348994,active,261,Online
125535,269199,active,6,Online
157512,299926,active,6,Online
189805,352460,active,6,Online
194088,356714,active,6,Online
158631,227589,active,6,Online
144535,292368,active,6,Online
196571,351298,active,6,Online
69574,239877,active,6,Online
195578,350340,active,6,Online
159763,171808,active,6,Online
191533,347368,active,6,Online
187544,352751,active,6,Online
94035,283204,active,6,Online
153715,279346,active,6,Online
187120,352371,active,6,Online
61074,281692,active,6,Online
197042,354384,active,6,Online
143116,336623,active,6,Online
93040,275246,active,6,Online
189316,349327,active,6,Online
197367,357383,active,6,Online
194793,352192,active,6,Online
197375,357377,active,6,Online
50773,315136,active,6,Online
111832,304225,active,6,Online
194568,354552,active,6,Online
197361,357380,active,6,Online
150902,319991,active,6,Online
193424,350824,active,6,Online
158357,222867,,6,Online
151963,174996,active,6,Online
189425,354667,active,6,Online
191506,356752,active,6,Online
197379,357372,active,6,Online
193402,350795,active,6,Online
195218,347324,active,6,Online
197370,357374,active,6,Online
190246,347624,active,6,Online
92767,182441,active,6,Online
97435,280563,active,6,Online
132916,232248,active,6,Online
150730,224335,active,6,Online
186970,354815,active,6,Online
156565,237067,active,6,Online
158938,278729,active,7,Online
124832,222046,active,7,Online
34606,329319,active,7,Online
189051,351712,active,7,Online
153346,226492,active,7,Online
