,term_begin_date,course_title,percentage_pass,total_count
0,2018-08-20,20th C Afr Amer Rel: Civil Right-Hip Hop,81.81818181818183,11
1,2018-08-20,3-D Computer-Aided Design,100.0,1
2,2018-08-20,AFROTC Leadership Lab AS 100 - FA,0.0,1
3,2018-08-20,Abdominal Sonography I,100.0,10
4,2018-08-20,Abdominal Sonography I Lab,100.0,8
5,2018-08-20,Abnormal Psychology,100.0,64
6,2018-08-20,Abnormal Psychology: Health Professions,98.72611464968153,157
7,2018-08-20,Abstract Algebra I,100.0,7
8,2018-08-20,Academic Internship,100.0,1
9,2018-08-20,Academic Seminar I,94.5945945945946,37
10,2018-08-20,Accelerated Elementary Portuguese,68.42105263157895,19
11,2018-08-20,Accelerated Intermediate Portuguese,66.66666666666666,9
12,2018-08-20,Accelerated Intermediate Spanish,100.0,15
13,2018-08-20,Accelerated Second-Yr Chinese: First Sem,100.0,6
14,2018-08-20,Accounting Information Systems,98.38709677419355,62
15,2018-08-20,Acct/Tax/Bus Considerations For Lawyers,100.0,20
16,2018-08-20,Acctg for Management Analysis & Control,95.08196721311475,61
17,2018-08-20,Acquired Cognitive-Communicatn Disorders,100.0,16
18,2018-08-20,Acting I,90.0,30
19,2018-08-20,Acting II,100.0,14
20,2018-08-20,Acting for Success,95.16129032258065,62
21,2018-08-20,Activities & Athletics Administration,95.0,40
22,2018-08-20,Activity Based Plasticity in Healthcare,100.0,42
23,2018-08-20,Acute Care Medicine Rotation,0.0,7
24,2018-08-20,Adaptive Tactical Leadership MSL301,100.0,19
25,2018-08-20,Addiction and Impulse Control Disorders,94.44444444444444,36
26,2018-08-20,Admin of Higher Educ and Student Affairs,100.0,10
27,2018-08-20,Admin of Students with Special Needs,100.0,13
28,2018-08-20,Administration Athletic Training Program,100.0,11
29,2018-08-20,Administration of Public Dental Programs,100.0,8
30,2018-08-20,Administrative Law,100.0,52
31,2018-08-20,Administrative Practicum,100.0,2
32,2018-08-20,Adult Outpt Psychiatry and Psychotherapy,0.0,1
33,2018-08-20,Adult-Gerontology Acute Care I,100.0,8
34,2018-08-20,Adv Clin Train Dev Disab Adult  I,100.0,2
35,2018-08-20,Adv Mag Rprtng & Wrtng:  IA Journalist,100.0,14
36,2018-08-20,Adv Modeling and Simulation for Manuf,100.0,12
