,term_begin_date,course_subject,total_enrollment
0,2018-08-20,ABRD,103
1,2018-08-20,ACB,485
2,2018-08-20,ACCT,2503
3,2018-08-20,ACTS,198
4,2018-08-20,AERO,144
5,2018-08-20,AFAM,240
6,2018-08-20,AMCS,5
7,2018-08-20,AMST,596
8,2018-08-20,ANES,59
9,2018-08-20,ANIM,17
10,2018-08-20,ANTH,2354
11,2018-08-20,ARAB,90
12,2018-08-20,ARTH,1459
13,2018-08-20,ARTS,1094
14,2018-08-20,ASL,374
15,2018-08-20,ASP,225
16,2018-08-20,ASTR,887
17,2018-08-20,ATEP,67
18,2018-08-20,BBC,6
19,2018-08-20,BIOC,637
20,2018-08-20,BIOL,4260
21,2018-08-20,BIOS,478
22,2018-08-20,BME,1238
23,2018-08-20,BMED,208
24,2018-08-20,BMS,17
25,2018-08-20,BUS,1232
26,2018-08-20,CBE,949
27,2018-08-20,CBH,103
28,2018-08-20,CBIO,30
29,2018-08-20,CCCC,88
30,2018-08-20,CCP,1031
31,2018-08-20,CEE,955
32,2018-08-20,CERM,148
33,2018-08-20,CHEM,11205
34,2018-08-20,CHIN,307
35,2018-08-20,CINE,1793
36,2018-08-20,CL,191
37,2018-08-20,CLAS,97
38,2018-08-20,CLSA,1894
39,2018-08-20,CLSG,38
40,2018-08-20,CLSL,150
41,2018-08-20,CNW,404
42,2018-08-20,COMM,3144
43,2018-08-20,CPH,1234
44,2018-08-20,CRIM,1129
45,2018-08-20,CS,3197
46,2018-08-20,CSD,1354
47,2018-08-20,CSI,2020
48,2018-08-20,CTS,1
49,2018-08-20,CW,1422
50,2018-08-20,DANC,1834
51,2018-08-20,DENT,311
52,2018-08-20,DERM,49
53,2018-08-20,DIET,12
54,2018-08-20,DPA,94
55,2018-08-20,DPH,30
56,2018-08-20,DRAW,69
57,2018-08-20,DSGN,140
58,2018-08-20,DST,130
59,2018-08-20,EALL,43
60,2018-08-20,ECE,1371
61,2018-08-20,ECON,3855
62,2018-08-20,EDTL,3209
63,2018-08-20,EES,2967
64,2018-08-20,EHOP,5
65,2018-08-20,EM,52
66,2018-08-20,EMTP,18
67,2018-08-20,ENDO,138
68,2018-08-20,ENGL,3631
69,2018-08-20,ENGR,4989
70,2018-08-20,ENTR,2330
71,2018-08-20,ENVS,58
72,2018-08-20,EPID,300
73,2018-08-20,EPLS,734
74,2018-08-20,ESL,899
75,2018-08-20,EVNT,238
76,2018-08-20,FAM,101
77,2018-08-20,FAMD,410
78,2018-08-20,FIN,2827
79,2018-08-20,FPC,36
80,2018-08-20,FREN,742
81,2018-08-20,FRRB,32
82,2018-08-20,GENE,50
83,2018-08-20,GEOG,1889
84,2018-08-20,GHS,513
85,2018-08-20,GRAD,1635
86,2018-08-20,GRMN,678
87,2018-08-20,GSND,12
88,2018-08-20,GWSS,918
89,2018-08-20,HHP,4969
90,2018-08-20,HIST,2915
91,2018-08-20,HMP,400
92,2018-08-20,HONR,778
93,2018-08-20,HPAS,2374
94,2018-08-20,HRTS,77
95,2018-08-20,IALL,4
96,2018-08-20,IBA,23
97,2018-08-20,IE,489
98,2018-08-20,IGPI,13
99,2018-08-20,IIEP,460
100,2018-08-20,IM,313
101,2018-08-20,IMMU,63
102,2018-08-20,INTD,47
103,2018-08-20,INTM,43
104,2018-08-20,IS,337
105,2018-08-20,ITAL,358
106,2018-08-20,IWP,55
