,term_begin_date,course_subject,total_enrollment
0,2018-08-20,CHEM,11205
1,2018-08-20,MATH,9346
2,2018-08-20,PSY,6473
3,2018-08-20,MSCI,5894
4,2018-08-20,ENGR,4989
5,2019-01-14,CHEM,8635
6,2019-01-14,PSY,6323
7,2019-01-14,MSCI,6176
8,2019-01-14,MATH,5776
9,2019-01-14,HHP,4909
10,2019-08-26,CHEM,10709
11,2019-08-26,MATH,9102
12,2019-08-26,PSY,6957
13,2019-08-26,MSCI,6226
14,2019-08-26,HHP,4409
15,2020-01-21,CHEM,8627
16,2020-01-21,PSY,6617
17,2020-01-21,MSCI,5729
18,2020-01-21,MATH,5495
19,2020-01-21,HHP,4521
20,2020-08-24,CHEM,10788
21,2020-08-24,MATH,9068
22,2020-08-24,PSY,7567
23,2020-08-24,BAIS,6610
24,2020-08-24,BIOL,4366
