,course_subject,drop percentage,total
0,ABRD,23.83222116301239,1049
1,ACB,14.302741358760429,2517
2,ACCT,32.65039232781169,16058
3,ACTS,23.481781376518217,1235
4,AERO,27.94811320754717,848
5,AFAM,40.06334125098971,2526
6,AMCS,19.54022988505747,87
7,AMST,37.88114845314934,4493
8,ANES,21.09038737446198,697
9,ANIM,47.68518518518518,216
10,ANTH,37.432439663937494,18687
11,ARAB,39.88355167394469,687
12,ARTH,40.332354021300034,10892
13,ARTS,42.55959547315194,8306
14,ASIA,42.857142857142854,98
15,ASL,26.811313444401396,2581
16,ASP,38.87427669647554,1901
17,ASTR,38.22906369156899,7081
18,AT,0.0,54
19,ATEP,2.547770700636943,157
20,BAIS,33.09039376455107,9879
21,BBC,21.153846153846153,52
22,BIOC,29.39857288481142,4905
23,BIOL,34.52637496486461,32019
24,BIOS,40.94202898550724,4140
25,BME,17.637075718015666,7660
26,BMED,7.158590308370044,908
27,BMS,40.0,30
28,BUS,25.851285615010422,7195
29,CBE,13.534566699123662,5135
30,CBH,30.11889035667107,757
31,CBIO,11.41304347826087,184
32,CCCC,39.13738019169329,626
33,CCP,33.500240731824746,10385
34,CEE,19.305620426591936,6423
35,CERM,33.58139534883721,1075
36,CHEM,32.975612373568,74546
37,CHIN,39.908065190137904,2393
38,CINE,32.49878463782207,12342
39,CL,39.91275899672846,917
40,CLAS,37.84313725490196,510
41,CLSA,39.87652765528537,15874
42,CLSG,36.58536585365854,287
43,CLSL,34.43258971871969,1031
44,CNW,34.92618492618493,2574
45,COMM,32.38629484644255,24779
46,CPH,25.395003972106984,11329
47,CRIM,33.69042413642326,9148
48,CS,40.641837416919024,25427
49,CSD,20.24099177383849,8631
50,CSI,34.134419551934826,12275
51,CTS,8.333333333333332,12
52,CW,37.3137057694066,10937
53,DANC,43.576509973497004,14338
54,DENT,12.465116279069766,1075
55,DERM,20.41343669250646,387
56,DIET,14.942528735632186,87
57,DPA,47.08029197080292,548
58,DPH,11.855670103092782,194
59,DRAW,44.05737704918033,488
60,DSGN,27.02205882352941,1088
61,DST,37.21461187214612,876
62,EALL,37.410071942446045,417
63,ECE,26.445133027032803,9359
64,ECON,32.18051933325774,26457
65,EDTL,21.729626989783796,21045
66,EES,32.51760834918513,19451
67,EHOP,26.190476190476193,42
68,EIT,100.0,9
69,EM,23.164763458401303,613
70,EMTP,14.285714285714285,105
71,ENDO,19.23390383048085,1227
72,ENGL,34.00505597688696,27690
73,ENGR,28.887007389162562,25984
74,ENTR,30.113569147048384,16906
75,ENVS,37.39224137931034,928
76,EPID,24.832535885167463,2090
77,EPLS,25.367436533689634,5239
78,ESL,25.280636108512628,4276
79,EVNT,33.92448512585812,1748
80,FAM,18.124207858048162,789
81,FAMD,19.674556213017752,1352
82,FIN,29.42546968720567,20173
83,FPC,33.064516129032256,124
84,FREN,38.80952380952381,6300
85,FRRB,27.312775330396477,227
86,GENE,24.193548387096776,372
87,GEOG,34.81245934812459,13837
88,GHS,37.93587643341914,4273
89,GRAD,18.12100942535725,9867
90,GRMN,43.17723504369258,4463
91,GSND,20.967741935483872,62
92,GWSS,38.20796072242679,5703
93,HHP,39.119662625197684,37940
94,HIST,39.89327738757639,21926
95,HMP,8.738574040219378,2735
96,HONR,29.552681789272846,4717
97,HPAS,49.22396905921945,19909
98,HRTS,39.461172741679874,631
99,IALL,0.0,7
100,IBA,21.73913043478261,253
101,IE,20.253164556962027,1422
102,IGPI,23.214285714285715,112
103,IIEP,8.313106796116505,1648
104,IM,17.069368667186282,2566
105,IMMU,20.544554455445542,404
106,INTD,21.830985915492956,142
107,INTL,0.0,4
108,INTM,43.126684636118604,371
109,IS,36.8319876970396,2601
110,ISE,18.66394696583376,1961
111,ITAL,36.00725952813067,2755
112,IWP,48.76325088339223,283
113,IYWS,3.4482758620689653,145
114,JMC,31.153176060648867,21237
